country,year,gain,readiness,vulnerability,economic,governance,social,capacity,health,infrastructure,exposure,ecosystems,habitat,sensitivity,food,water,co2_per_capita,cumulative_co2
VCT,2023,52.9978936928027,0.491411365011403,0.431453491155348,0.464722713542799,0.594665550506434,0.414845830984975,,0.427809598207669,0.391854497778612,0.409896225986472,,0.351578077132706,0.264194656022499,0.554571791502407,,,
VEN,1995,43.2269781917509,0.243839104579838,0.37929954074482,0.324995432967508,0.226683716820157,0.179838163951849,0.498865295023542,0.48484208193605,0.151728767815503,0.421695854639809,0.378189091216508,0.598382888558585,0.269736722142392,0.445443587566082,0.217210827376193,,
VEN,1996,43.1622093427295,0.243183573889964,0.379939387035374,0.324995432967508,0.226683716820157,0.177871571882228,0.500790244717532,0.48484208193605,0.152771220803484,0.421695854639809,0.378945518825831,0.597507921038377,0.269962344803181,0.448323707629732,0.217245871978768,,
VEN,1997,43.1287173396096,0.240161734542356,0.377587387750164,0.324995432967508,0.218544040284401,0.176945730375159,0.501660969683012,0.48484208193605,0.152334998876379,0.421695854639809,0.376152940768486,0.599638936801105,0.262214158877008,0.435274267021367,0.217281101097595,,
VEN,1998,42.9431346175655,0.236220326348252,0.377357633996942,0.324995432967508,0.210404363748645,0.173261182328604,0.500559695456425,0.48484208193605,0.152941229937255,0.421695854639809,0.368096948711142,0.598737604304531,0.262389164973981,0.442211535069748,0.217316404022927,,
VEN,1999,43.5747918938228,0.248088003493766,0.376592165617309,0.324995432967508,0.243870036887236,0.175398540626554,0.498818890643712,0.48484208193605,0.151930844835795,0.421695854639809,0.367209304820464,0.597810899703105,0.261624699661439,0.440408303073192,0.217351559335249,,
VEN,2000,44.2158230657101,0.259701806466352,0.37538534515215,0.324995432967508,0.277335710025826,0.176774276405722,0.498002441696764,0.48484208193605,0.151930844835795,0.421695854639809,0.36562619376312,0.596175184546192,0.258681676628513,0.436350977377664,0.217386788454076,,
VEN,2001,43.6372317327204,0.247520869711684,0.374776235057277,0.324995432967508,0.229189581157017,0.188377595010526,0.49719144086375,0.481359452374324,0.150102655522879,0.421695854639809,0.366268600663436,0.595170445041223,0.257647321652325,0.437946974345828,0.217809282395968,,
VEN,2002,42.7187457955861,0.22978657902975,0.375411663118029,0.324995432967508,0.181043452288208,0.183320851833534,0.498569828933839,0.480362136865919,0.150497313433174,0.421695854639809,0.366911007563752,0.593678645510679,0.258336853121825,0.442789098996787,0.218231776337861,,
VEN,2003,42.5943649348697,0.231187610320916,0.379300311623521,0.324995432967508,0.179651230811724,0.188916167183515,0.503854378348392,0.479958800503159,0.158975052155143,0.421695854639809,0.367553414464068,0.592201250573113,0.26473874540452,0.457036169769891,0.220077182275753,,
VEN,2004,43.1534917529883,0.239907110920011,0.376837275860245,0.324995432967508,0.200180439447248,0.194545460345278,0.50013377870897,0.479555464140398,0.152297014355222,0.421695854639809,0.368195821364384,0.590742133604846,0.260971433135711,0.449733545478973,0.220499676217646,,
VEN,2005,43.1828569121132,0.237948046485559,0.374290908243296,0.317351530703001,0.188097981163727,0.20839462758995,0.498898654753815,0.479746552601048,0.1530958263061,0.421695854639809,0.3688382282647,0.589380362047745,0.25425982475643,0.433762310080644,0.220922170159538,,
VEN,2006,42.0769835605717,0.214367597885042,0.372827926673608,0.205219361519118,0.183756294026387,0.254127138109621,0.498017919201044,0.479937641061698,0.152278022094644,0.421695854639809,0.3688382282647,0.588180091896729,0.250640686349504,0.426423922450815,0.221309654273064,,
VEN,2007,42.1559461427102,0.215830343788154,0.37271142093395,0.199324486601408,0.176064289557506,0.272102255205547,0.499363172599009,0.480128729522349,0.153278911065814,0.421695854639809,0.3688382282647,0.587080841081946,0.249173002874833,0.426667589278303,0.220274226390589,,
VEN,2008,42.0882938800457,0.217977159019792,0.376211281418877,0.201041125432734,0.161957616686131,0.29093273494051,0.49777267904336,0.480319817982999,0.153471491955816,0.421695854639809,0.368367481795298,0.587050721883526,0.260981947218487,0.447783948505032,0.220274226390589,,
VEN,2009,41.6963952433668,0.209544872590688,0.375616967723353,0.176101273666374,0.155686178125622,0.296847165980069,0.496245410511615,0.480351983127756,0.153461995825527,0.421695854639809,0.367941568322983,0.587094932600524,0.26047252125256,0.444577100072736,0.220274226390589,,
VEN,2010,40.9714126751662,0.193004788145263,0.373576534641939,0.130464580875411,0.147336056518687,0.301213727041691,0.490486625151584,0.480169593881582,0.153452499695238,0.421695854639809,0.357697228488865,0.587198535784223,0.259151001152535,0.442667123611136,0.220274226390589,,
VEN,2011,40.9816691755142,0.19428172445018,0.374648340939896,0.120197135215139,0.159509386941188,0.303138651194214,0.4940311625316,0.479937231852906,0.154251311646116,0.421695854639809,0.357562729497607,0.592167222782787,0.25934607123382,0.44369732346937,0.220274226390589,,
VEN,2012,40.5889326632703,0.186948984780015,0.375170331514609,0.115306332783848,0.135772103969351,0.309768517586845,0.496734706670432,0.479650394557534,0.15343350743466,0.421695854639809,0.35742823050635,0.59720075118218,0.258727239859887,0.443034879016341,0.220274226390589,,
VEN,2013,40.5059951346674,0.184831884898236,0.374711982204887,0.115597837737576,0.124565307709237,0.314332509247894,0.491502286783873,0.479363557262163,0.15342401130437,0.421695854639809,0.357567872922808,0.587163688245983,0.261713333180377,0.450478537103408,0.220274226390589,,
VEN,2014,39.955631890891,0.171680001206781,0.37256736338896,0.0954192295894863,0.104357536992773,0.315263237038083,0.484769381811279,0.479076719966791,0.152404130072622,0.421695854639809,0.356048694447089,0.577141630442403,0.260975220979071,0.450458779014267,0.220274226390589,,
VEN,2015,39.9169543781787,0.171441158350516,0.373102070786943,0.0968767531703401,0.101486087050631,0.315960634830577,0.487833732704279,0.47878988267142,0.152596710962624,0.421695854639809,0.354484121299631,0.582026666282346,0.260009669021353,0.450440817115047,0.220274226390589,,
VEN,2016,40.8014934589278,0.190440018849443,0.374410149670887,0.143873800432392,0.110851838446169,0.316594417669769,0.493494899728765,0.478503045376048,0.153809173084376,0.421695854639809,0.356237189936526,0.587216204211875,0.259115227975966,0.450421059025906,0.220274226390589,,
VEN,2017,40.4530573838783,0.183748718065985,0.374687570388418,0.126545461227284,0.106483807982868,0.318216884987802,0.494913823823873,0.475289777680229,0.154213327124959,0.421695854639809,0.354829532278868,0.593129831248549,0.258731373879254,0.450388727607311,0.220274226390589,,
VEN,2018,39.8231686519135,0.171810190709396,0.375346817671126,0.119905630261411,0.0773642902044386,0.318160651662339,0.496963004968492,0.474642516052449,0.152798787982916,0.421695854639809,0.353421874621211,0.600599678120327,0.259119343035367,0.450343822859263,0.220274226390589,,
VEN,2019,39.9503023326824,0.174096226977359,0.375090180323712,0.130222167066776,0.0738258415034205,0.318240672361881,0.494968864178338,0.474742481589471,0.153000865003208,0.421695854639809,0.352379339227765,0.599857824949476,0.259994375233228,0.450286344781761,0.220274226390589,,
VEN,2020,39.47258079101,0.163957591633282,0.374505975813082,0.111244159899778,0.0627771874363018,0.317851427563767,0.492976599582527,0.474784559350395,0.152798787982916,0.421695854639809,0.35133680383432,0.597625183945468,0.25991882194954,0.450216293374805,0.220274226390589,,
VEN,2021,39.2898318599952,0.15982168232358,0.374025045123676,0.111244159899778,0.0519218730965519,0.31629901397441,0.491118665625858,0.477054416313239,0.152596710962624,0.421695854639809,0.349960418511976,0.59413082992523,0.260041147930235,0.450133668638396,0.220274226390589,,
VEN,2022,39.2098879806706,0.157536601190982,0.373338841577569,0.111244159899778,0.0453488706141928,0.316016773058974,0.488481249257147,0.477136823893559,0.152596710962624,0.421695854639809,0.349960418511976,0.590026399134132,0.260180384265842,0.450038470572533,0.220274226390589,,
VEN,2023,39.0724489582987,0.154587007605544,0.373138028439569,0.111244159899778,0.0365000898578804,0.316016773058974,0.488481249257147,0.477136823893559,0.152596710962624,0.421695854639809,0.349960418511976,0.58892929170145,0.259577944851842,0.449930699177217,0.220274226390589,,
VNM,1995,39.2322607030453,0.302178278811962,0.517533064751055,0.392333035706141,0.312489871114524,0.20171192961522,0.665528548216457,0.498132218730037,0.510890117103789,0.490791446680879,0.559066836080957,0.505103189782474,0.409165735281886,0.553171821054935,0.47883420575414,,
